player_name,season,do_or_die_points,team_name,player_id,match_played,position_id,position_name,high_5s,avg_raid_points,raid_points,successful_raids,successful_tackles,super_10s,super_raids,super_tackles,tackle_points,total_points,z_score_do_or_die_points,z_score_high_5s,z_score_avg_raid_points,z_score_raid_points,z_score_successful_raids,z_score_successful_tackles,z_score_super_10s,z_score_super_raids,z_score_super_tackles,z_score_tackle_points,z_score_total_points
Ashu Singh,7,0.0,U.P. Yoddha,2657,14,7.0,"Defender, right cover",0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,1.71,24.0,-0.5575209349493357,-0.44714607015407415,-0.6200142576264694,-0.4625620132103664,-0.4437113894244882,1.5511283736293002,-0.3118428343415906,-0.5029957698887288,-0.7292021184632329,1.1864616284290113,0.17185472647328454
Athul MS,7,10.0,U Mumba,376,11,8.0,Raider,0.0,3.09,34.0,25.0,1.0,0.0,0.0,0.0,0.05,34.0,1.4065323121228814,-0.44714607015407415,1.023777855122915,0.8445723301888484,0.747502425933868,-0.5632507546763028,-0.3118428343415906,-0.5029957698887288,-0.7292021184632329,-0.7781790603518935,0.5333521477693421
Atif Waheed,1,0.0,Telugu Titans,17,3,1.0,All Rounder,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.33,1.0,-0.5575209349493357,-0.44714607015407415,-0.6200142576264694,-0.4625620132103664,-0.4437113894244882,-0.5632507546763028,-0.3118428343415906,-0.5029957698887288,-0.7292021184632329,-0.4467938839310181,-0.6595893425076481
Azad Singh,7,6.0,U.P. Yoddha,2316,3,8.0,Raider,0.0,1.67,5.0,3.0,2.0,0.0,1.0,0.0,0.0,5.0,0.6209110132939946,-0.44714607015407415,0.26837824343873196,-0.2703363744751877,-0.30076573158148545,-0.47132122735866794,-0.3118428343415906,0.4821462042974862,-0.7292021184632329,-0.8373549847127643,-0.514990373989225
Babu M,5,0.0,Haryana Steelers,726,2,4.0,"Defender, left cover",0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,-0.5575209349493357,-0.44714607015407415,-0.6200142576264694,-0.4625620132103664,-0.4437113894244882,-0.47132122735866794,-0.3118428343415906,-0.5029957698887288,-0.7292021184632329,0.3461635025046484,-0.6234396003780424
Bajirao Hodage,6,0.0,Jaipur Pink Panthers,164,6,7.0,"Defender, right cover",1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.17,1.0,-0.5575209349493357,0.48667279458758345,-0.6200142576264694,-0.4625620132103664,-0.4437113894244882,-0.5632507546763028,-0.3118428343415906,-0.5029957698887288,0.6286225159165799,-0.6361568418858041,-0.6595893425076481
Balbir Singh,2,2.0,Jaipur Pink Panthers,32,2,1.0,All Rounder,0.0,1.13,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.16471028553489228,-0.44714607015407415,-0.01888639762426733,-0.42411688546333065,-0.11017152112414846,-0.6551802819939377,-0.3118428343415906,-0.5029957698887288,-0.7292021184632329,-0.8373549847127643,-0.6595893425076481
Baldev Singh,7,0.0,Bengal Warriors,621,16,6.0,"Defender, right corner",5.0,0.0,1.0,0.0,39.0,0.0,0.0,5.0,2.75,44.0,-0.5575209349493357,4.221948253554214,-0.6200142576264694,-0.42411688546333065,-0.4437113894244882,2.9300712833938243,-0.3118428343415906,-0.5029957698887288,2.665359467486299,2.4173208551351206,0.8948495690653998
Balram,7,2.0,Dabang Delhi K.C.,2669,1,1.0,All Rounder,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.16471028553489228,-0.44714607015407415,-0.6200142576264694,-0.3856717577162949,-0.3960628368101539,-0.6551802819939377,-0.3118428343415906,-0.5029957698887288,-0.7292021184632329,-0.8373549847127643,-0.6234396003780424
Banty,7,1.0,Bengaluru Bulls,2503,9,8.0,Raider,0.0,1.13,9.0,7.0,2.0,0.0,0.0,0.0,0.0,11.0,-0.361115610242114,-0.44714607015407415,-0.01888639762426733,-0.11655586348704482,-0.11017152112414846,-0.47132122735866794,-0.3118428343415906,-0.5029957698887288,-0.7292021184632329,-0.8373549847127643,-0.29809192121159045
